"","Year","DOY_Start","DOY_End","DOY_cum25","DOY_cum50","DOY_cum75","N","Spawn_duration","Condition_factor_PWS","SSB","median_exp_rate","Mean_age","ICOADS.SST.mar.obs","ICOADS.SST.mar.wmean","ICOADS.SST.mar.obs.E","ICOADS.SST.mar.obs.W","ICOADS.SST.apr.obs","ICOADS.SST.apr.wmean","ICOADS.SST.apr.obs.E","ICOADS.SST.apr.obs.W","FWinput.total","FWinput.total.t","NCEP.SST.fa","NCEP.SST.wi","NCEP.SST.sp","NCEP.MerWind.fa","NCEP.MerWind.wi","NCEP.MerWind.sp","NCEP.ZonWind.fa","NCEP.ZonWind.wi","NCEP.ZonWind.sp","Upwell.fa","Upwell.wi","Upwell.sp","a.MEI.v2.wi","a.MEI.v2.su","a.NPGO.wi","a.NPGO.su","a.PDO.wi","a.PDO.su","a.PNA.wi","a.PNA.su"
"15",1994,104,115,110,111,112,79,11,1.1798350183315,24.04,0,5.89951100244499,4.8,6.1,4.8,NA,NA,5.45,NA,NA,54217588736,5.4217588736,5.483,2.924,2.081,0.557,2.258333333,-0.257,-2.5505,-4.672,-4.54,-25,-458,-31,0.0900659460483681,0.871272384431645,-1.97627247809146,-1.62211889466714,0.667422360400584,1.59136970569528,-0.354,-0.19
"16",1995,96,122,104,117,118,71,26,1.244786778574,23.42,0,5.84943917169974,3.16,3.39543666666667,NA,3.16,3.866667,5.483165,3.9,3.85,59348553728,5.9348553728,6.444,2.503,1.664,-1.7695,-1.881,-1.231,-4.695,-3.857,-3.032,-61,-315,-93,0.609237622967662,0.714541312154123,-1.3044222977718,-0.832217519872708,-0.756005430964316,-0.659036699675962,-0.062,-1.205
"17",1996,93,126,105,110,110,115,33,1.25715641898132,23.27,0.02,5.06766428106701,3.792069,5.19493733333333,3.860486,3.723163,4.841868,6.5707045,4.775314,4.908842,39577014272,3.9577014272,5.527,2.602,1.686,-2.373,-0.888666667,-1.822,-3.4705,-6.104666667,-5.15,-209,-366,-31,-0.7660775362676,-0.458492806922961,-0.623891882564286,-1.08611439034235,0.687547946139676,0.790920272890469,-0.448,0.2625
"18",1997,88,111,101,108,109,169,23,1.27068348080781,25.71,0.19,5.35022522522523,3.860305,5.00578616666667,3.990264,3.730081,4.703819,6.54021733333333,4.782999,4.621601,61425364992,6.1425364992,7.106,2.526,1.625,-0.0175,0.990666667,-0.142,-3.7655,-5.698333333,-3.899,-132,-284,-91,-0.50159385179928,-0.64461095525252,-1.13081760001478,-0.905999516419441,0.341753791167997,0.319798606725351,-0.584,-0.55
"19",1998,82,112,97,101,106,163,30,1.20960093888521,20.58,0.2,4.44683908045977,5.38502,6.15514883333333,5.277984,5.490752,6.028138,7.000073,5.855462,6.199375,56038694912,5.6038694912,6.229,3.979,3.415,-0.084,-0.156,1.031,-3.944,-4.005666667,-5.006,-110,-328,-14,2.1314881624631,2.11042742462581,0.530579357519888,-0.767115758213826,1.23093876109517,1.9275584674733,0.718,-0.12
"20",1999,84,112,98,107,109,83,28,1.27758895507234,15.52,0,5.51179700252263,3.996816,5.101257,3.995772,3.997802,4.592585,6.263947,4.592308,4.59285,54252560384,5.4252560384,5.396,3.444,2.048,1.3515,1.822666667,1.084,-4.5515,-4.392666667,-5.053,-75,-314,-52,-1.22255678427588,-1.03154078993765,1.06701787358908,0.0575065561320124,-0.856633359659778,-0.958633487382906,-0.042,0.395
"21",2000,94,115,101,102,102,64,21,1.31611102248231,14.59,0,5.57773459189339,4.089156,5.23729933333333,3.784979,4.543695,5.306168,6.5707005,5.24695,5.441667,59259764736,5.9259764736,5.629,2.632,2.174,-0.648,0.514,-0.241,-4.9155,-5.315666667,-5.025,-148,-166,-49,-1.33030939646668,-1.17602724719349,1.2753435108975,1.18593709155263,-1.4347865499828,-1.8231188748121,0.162,0.4475
"22",2001,79,116,100,109,113,21,37,1.30380812821492,13.82,0,5.58133854421104,4.672141,5.4513585,4.669853,4.853333,5.430139,6.634536,5.259263,5.811765,62209351680,6.220935168,6.195,3.245,2.741,-0.9,-0.227,-3.422,-3.909,-5.002333333,-3.18,-101,-226,-63,-0.848361349213299,-0.556449727096413,2.02878789916296,1.28792985148488,-0.106497891202697,-1.13473236259996,0.558,-1.365
"23",2002,79,115,102,112,114,27,36,1.33817760194772,17.96,0,4.00997420464316,4.241602,5.34525566666667,4.890991,3.598506,4.87626,6.5763435,5.756672,4.027121,68405043200,6.84050432,6.604,2.953,1.492,1.3745,-0.278,-3.214,-6.2055,-5.331666667,-4.317,-114,-232,-31,-0.162662907999137,-0.140132816359243,1.56699940312929,1.54182672195452,-0.946283696133917,-1.54867906927902,-0.216,-0.3375
"24",2003,60,113,97,101,105,88,53,1.32644743962435,24.97,0,4.28979009578154,5.333915,6.23592066666667,5.272801,5.394658,5.729287,7.39719633333333,5.891989,5.579153,60229394432,6.0229394432,6.696,4.426,3.274,-1.6115,-1.093333333,-0.011,-3.251,-5.022,-1.95,-111,-188,-77,0.671930051878671,0.616584391980671,1.39860284630498,0.882128870477851,1.23276835979873,-0.382309895763441,0.814,0.4175
"25",2004,98,111,100,103,103,48,13,1.27456645756902,24.95,0,5.0194476857254,3.992264,5.18630783333333,3.9,3.99236,4.789538,6.7517695,NA,4.789538,59722907648,5.9722907648,5.95,3.018,2.207,0.2965,-1.452666667,0.817,-3.3565,-3.994666667,-4.521,-43,-354,-23,-0.0137683893354907,-0.00544205112074731,0.127816458723605,0.66729305700354,-0.24554739267279,0.166569715302716,-0.018,0.12
"26",2005,78,123,94,97,101,64,45,1.26571133704109,20.1,0,5.29023746701847,4.325642,5.49789866666667,4.580851,4.240082,5.33433,7.39997833333333,5.581828,5.25552,65194582016,6.5194582016,6.269,2.846,2.282,-0.649,-0.000333333,-2.511,-3.6035,-4.767,-4.434,-39,-272,-93,0.468179657917892,0.308020093434298,-1.17421877445403,0.369995012094646,-0.168704247123528,0.116255750954985,0.016,0.2
"27",2006,85,105,85,86,88,36,20,1.24644245449023,18.23,0,5.89509143407122,4.515269,5.13960066666667,4.785436,4.375143,4.9413,6.48294216666667,5.163558,4.824842,62095482880,6.209548288,5.901,3.199,2.06,-1.97,-0.667333333,-3.124,-4.136,-4.605666667,-3.212,-240,-368,-126,-0.668120616094148,0.00190471789226156,-1.04748734509141,-1.34435137825591,-0.258354583597667,-0.0301121453293239,-0.154,0.6025
"28",2007,87,141,93,110,129,79,54,1.31484907532043,21.28,0,4.72035097650722,3.504146,4.556594,3.684684,3.318802,4.227538,5.7685835,4.449296,3.96292,52115070976,5.2115070976,5.83,2.262,1.277,1.2915,-1.075666667,0.709,-4.5425,-4.792,-4.952,-262,-335,-219,0.419201197831166,0.234552403304209,-0.512784875999794,-0.411226127811938,-0.609637534680008,-0.336569928174595,-0.012,-0.2175
"29",2008,88,122,102,114,120,58,34,1.33143313026838,26.14,0,5.09023377758357,3.550048,4.42691633333333,3.515138,3.618571,4.352556,5.35867233333333,4.290238,4.563506,59734360064,5.9734360064,5.785,2.576,1.351,0.3545,-1.740666667,-0.944,-3.35,-3.524,-4.237,-147,-432,-152,-1.24998472192445,-0.923788177746857,0.619117753375968,0.923359986195143,-1.1255843690822,-0.0461211339854201,-0.162,1.2075
"30",2009,93,133,96,97,97,43,40,1.3516050377919,24.11,0,3.58702064896755,3.527176,4.50077583333333,3.330723,3.647651,4.149204,6.08071333333333,4.158938,4.138915,59602313216,5.9602313216,6.347,2.275,0.973,-0.56,0.043666667,1.971,-4.249,-5.310333333,-5.402,-162,-229,-111,-0.9874601758596,-0.977664483842255,0.63995031710681,1.41596331608068,-1.49150410979297,-1.64930699797449,-0.678,-0.1225
"31",2010,92,124,98,100,103,76,32,1.38554094281286,23.32,0,4.36699669966997,4.169134,5.3340415,4.092453,4.213748,5.219912,6.575778,5.360291,5.152002,59611250688,5.9611250688,5.886,3.082,2.589,0.5935,-2.04,-2.097,-5.238,-4.496,-5.2,-95,-406,-42,1.0559211789586,0.300673324421289,1.20937372574983,0.450287184807267,-0.166874648419975,-0.293116958965191,0.67,0.7125
"32",2011,92,105,101,102,103,67,13,1.4161468075204,19.55,0,6.04725274725275,4.027645,5.04645816666667,3.941454,4.141713,5.022286,6.32241533333333,5.187589,4.853311,61236645888,6.1236645888,5.934,2.996,1.782,-0.4965,1.439333333,-1.238,-3.342,-3.201333333,-1.979,-82,-143,-61,-1.82988968935128,-2.0943733738196,0.54620378031802,0.84957798964841,-1.41832016165081,-1.62872401255951,-0.784,0.7325
"33",2012,99,116,103,105,107,123,17,1.3740222814064,17.58,0,5.35100054083288,3.508498,4.74357683333333,3.602436,3.354406,5.370296,5.5561345,5.606853,4.981543,68298625024,6.8298625024,5.674,2.134,1.032,-1.312,0.231666667,0.084,-3.822,-4.768333333,-3.253,-46,-65,-12,-0.965909653421441,-1.00215371388562,0.4541932905068,0.860428283258224,-1.79521749458291,-1.81397088129433,-0.012,0.1525
"34",2013,95,129,110,114,116,68,34,1.4248396470513,14.77,0,5.87959442332066,3.70082,4.31763566666667,3.720918,3.642962,4.132977,5.6245085,4.161805,4.045479,65444143104,6.5444143104,6.753,2.663,1.777,0.758,0.458666667,0.227,-3.262,-4.325666667,-3.519,-219,-148,-14,-0.105847894298535,-0.11564358631588,0.863900377213364,1.37473220036339,-1.01946764427607,-2.12728965927793,-0.456,-0.395
"35",2014,104,114,107,107,108,63,10,1.55350430866776,11.42,0,6.07656039515043,4.290154,5.51926966666667,4.291215,3.533333,5.715513,6.6739565,5.732253,5.592938,52837826560,5.283782656,7.225,3,1.994,0.3835,0.196666667,0.141,-4.18,-5.456666667,-3.424,-38,-144,-35,-0.331148810697474,-0.740118952421635,-0.705486090510085,0.34178424870913,-0.439484855249499,-1.08899239501112,-0.756,-0.1775
"36",2015,101,124,103,113,120,65,23,1.39397731653047,8.02,0,6.34034267912773,5.478243,6.45032216666667,5.48992,5.372435,6.068696,7.25899933333333,6.082699,5.927593,46908370944,4.6908370944,6.841,4.516,3.165,-0.1385,0.613666667,-0.323,-2.597,-5.798,-3.969,-93,-203,-28,0.186063727818351,0.0508831779789874,-0.684653526779242,-0.526239240075963,1.4559794016323,0.315224609966467,0.224,0.2975
"37",2016,103,106,103,104,105,9,3,1.45015611281855,6.42,0,4.52622377622378,5.865732,6.5841685,5.969742,5.185368,6.784744,7.6429235,6.7834,6.797632,58737664000,5.8737664,7.095,4.062,3.932,-1.2975,-0.419333333,-2.683,-3.8345,-1.827,-4.438,-54,-346,-63,1.70439599050685,1.86063727818351,-0.419038339211004,-1.58522789639378,0.811960657981339,1.02419410759359,0.86,-0.1325
"38",2017,103,111,105,105,109,27,8,1.13559926345083,6.17,0,3.68604097189138,4.583713,5.86486566666667,4.577462,4.695522,5.894533,6.68871283333333,5.879571,6.205694,46694670336,4.6694670336,6.463,3.769,2.352,-1.6885,-0.946666667,-2.024,-2.2435,-3.602,-2.37,-159,-71,-164,-0.468288498940306,-0.216049429493668,-0.504104641111943,-0.719374466330646,0.365538574314198,0.0682287849866959,0.084,-0.2275
"39",2018,97,107,97,98,98,15,10,1.42385220479916,6.97,0,4.10607866507747,4.420787,5.36695683333333,4.406608,4.720439,5.811005,5.97295266666667,5.822682,5.10123,52434145280,5.243414528,7.014,3.036,2.223,0.155,-0.335333333,1.401,-4.6105,-2.904333333,-4.21,-108,-201,-18,-0.736690460215564,-0.654406647269865,-1.9450236324952,-0.508878770300261,-0.110157088609805,-0.133027072404228,-0.874,0.5975
"40",2019,85,123,91,91,108,44,38,1.41278097607273,13.67,0,3.28523676880223,5.549584,6.36286966666667,5.567433,5.374216,6.444235,7.21352416666667,6.483079,6.139164,36729315328,3.6729315328,6.666,3.963,3.244,0.93,0.504666667,-1.671,-3.2595,-3.532666667,-1.14,-141,-91,-33,0.317326000850776,0.0214961019269519,-1.55267701556434,-1.8456349430293,-0.346175321368253,-0.206211020546383,-0.116,0.575
